Action ID,Priority,Fix Owner,Fix Owner Confidence,Fix Owner Rationale,Work Type,DS Component,DS Source Path,Needs Component Triage,Issue Summary,WCAG SC,SC Title,WCAG 2.2 Level,Max Impact,Open Occurrences,Fixed Occurrences,Total Occurrences,Apps / Reports Affected,Affected Test Units,Recommended Remediation,Already Fixed in DS Version,CHANGELOG Evidence,Deque Rule ID,Findings Group ID,Issue IDs To Mark Fixed,Auditor Test Run URLs
DS-032,P2,Design System code,High — matched a verified DS capability or rule,The <ul>/<li> markup is emitted by DS Navigation/Menu components.,Partially fixed — finish remaining occurrences,Navigation (list markup),core/components/organisms/navigation,Yes — pin exact component before fixing,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements / <li> elements must be contained in a <ul> or <ol> / Visual list is not marked up as list",1.3.1,Info and Relationships,A,Serious,5,7,13,"Innovaccer - DAP and Analytics Web Audit - Retest, Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Admin - Secondary Header | Admin Overview | Base Role | Header | Level of Access - Date Access tab | Level of Access - Permissions tab,"Convey structure semantically: real `<ul>/<ol>` with only `<li>` children, `<table>` with `<th scope>` header cells, heading levels in sequential order, and programmatically associated group labels (`<fieldset>/<legend>` or `role=""group""` + `aria-labelledby`).",,,"list, listitem, semantic-list",A11Y-006,"2353786, 2353787, 2353788, 2353789, 2353790, 2353791, 2353792, 2353878, 2353900, 2354586, 2355307, 2355325, 2711518","https://axeauditor.dequecloud.com/test-run/878fe7e8-63d0-11f1-8176-0f09a18241fa
https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510"
DS-033,P2,Design System code,High — matched a verified DS capability or rule,Design tokens are defined in css/src/tokens and css/src/variables — fixable only in the DS.,Partially fixed — finish remaining occurrences,Design tokens — colour palette,"css/src/tokens/index.css, css/src/variables/index.css",No,State of active component lacks 3 to 1 contrast ratio / Active user interface component lacks 3 to 1 contrast ratio / An icon lacks 3 to 1 contrast ratio,1.4.11,Non-text Contrast,AA,Serious,4,3,14,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Admin Overview | Footer | How can we improve this article dialog | Level of Access - Date Access tab | Roles | Search Combobox | Search and fill out form,"Ensure non-text contrast ≥ 3:1 against adjacent colours for focus indicators, active/selected UI-component boundaries, and meaningful icons; use the focus-ring and border tokens rather than hard-coded colours.",,,"contrast-graphical-objects-icon-3-1, contrast-uic-active-3-1, contrast-uic-active-3-1-state",A11Y-005,"2340073, 2340920, 2341664, 2347951, 2347957, 2347963, 2353649, 2353984, 2354419, 2354596, 2355102, 2355212, 2355215, 2355329",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-034,P2,Design System code,High — matched a verified DS capability or rule,Colour comes from DS tokens (text.module.css has no hard-coded hex); raise the token/component contrast in css/src.,Partially fixed — finish remaining occurrences,Input,core/components/atoms/input,No,Placeholder text lacks 4.5:1 contrast ratio,1.4.3,Contrast (Minimum),AA,Serious,4,1,7,"Innovaccer - Incare Web Audit MDS issues found, Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Assessments | Patient Consent | Search Combobox | Search and fill out form,Raise text contrast to at least 4.5:1 (3:1 for large text) using approved contrast-safe design tokens from `css/src/variables/index.css`; applies to placeholder and in-focus/hover link text too.,,,contrast-text-4.5-1-placeholder,A11Y-017,"2342544, 2345488, 2354418, 2355205, 2355211, 2355309, 2371018","https://axeauditor.dequecloud.com/test-run/9e878f64-b8a4-11f0-b13a-430b8706e058
https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510"
DS-035,P2,Design System code,High — matched a verified DS capability or rule,The nested interactive elements are rendered by the DS component itself.,Fix required,Avatar,core/components/atoms/avatar,No,Interactive controls must not be nested,4.1.2,"Name, Role, Value",A,Serious,3,0,3,Innovaccer - DAP and Analytics Web Audit - Retest,Cohort Builder,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,nested-interactive,A11Y-035,"2710774, 2710775, 2710776",https://axeauditor.dequecloud.com/test-run/878fe7e8-63d0-11f1-8176-0f09a18241fa
DS-036,P2,App code (DS already exposes the required API),High — matched a verified DS capability or rule,Heading levels and which text is a heading are decided by app page structure; DS only renders the element it is told to.,Fix required,Heading,core/components/atoms/heading,No,Visual heading text is not marked as heading,1.3.1,Info and Relationships,A,Serious,3,0,3,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Admin Overview | Help - DAP - Overview,"Convey structure semantically: real `<ul>/<ol>` with only `<li>` children, `<table>` with `<th scope>` header cells, heading levels in sequential order, and programmatically associated group labels (`<fieldset>/<legend>` or `role=""group""` + `aria-labelledby`).",,,semantic-heading,A11Y-036,"2340845, 2341162, 2354578",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-037,P2,App code (DS already exposes the required API),High — matched a verified DS capability or rule,Label *text* is supplied by the app. DS forwards aria-label/-labelledby already; only the app knows which control is which.,Partially fixed — finish remaining occurrences,Icon,core/components/atoms/icon,No,Programmatic label does not convey purpose of control,2.4.6,Headings and Labels,AA,Serious,3,1,4,"DS audit report, Innovaccer - Incare Web Audit MDS issues found",Basic Form | Date Picker | My Case details page | Time Period Form,"Give each control a unique, descriptive programmatic label that starts with its visible text; disambiguate repeated controls (e.g. multiple ""Edit"" buttons) with row/section context, and use meaningful `title`/heading text.",4.26.0,Icon: announce aria-label instead of icon name (role=img),label-programmatic-not-descriptive,A11Y-029,"2350899, 2352169, 2356803, 2356985","https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814
https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d"
DS-038,P2,Design System code,High — matched a verified DS capability or rule,Focus trap and restore live in Modal.tsx:178-224.,Partially fixed — finish remaining occurrences,Modal / Sidesheet,"core/components/molecules/modal, core/components/molecules/sidesheet",Yes — pin exact component before fixing,"Keyboard focus is not placed on opened modal / Keyboard focus is not maintained in modal / Modal is closed, focus is not returned to trigger",2.4.3,Focus Order,A,Serious,3,3,7,Innovaccer - User Admin and Help Guide Web Audit,Admin - Secondary Header | How can we improve this article dialog | Own User details page,"Keep focus order logical and trap focus inside modals/overlays: move focus to the dialog on open, cycle within it, restore focus to the trigger on close, and never focus visually hidden items.",,,"focus-modal-moves-outside, focus-modal-none, focus-modal-not-returned",A11Y-018,"2353887, 2353888, 2353889, 2354409, 2355686, 2355689, 2355690",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-039,P3,App code (DS already exposes the required API),High — matched a verified DS capability or rule,Label *text* is supplied by the app. DS forwards aria-label/-labelledby already; only the app knows which control is which.,Partially fixed — finish remaining occurrences,Button,core/components/atoms/button,No,Controls have same name but different actions,2.4.6,Headings and Labels,AA,Serious,2,5,9,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Admin Overview | Base Role | Level of Access - Date Access tab | Level of Access - Permissions tab | Roles,"Give each control a unique, descriptive programmatic label that starts with its visible text; disambiguate repeated controls (e.g. multiple ""Edit"" buttons) with row/section context, and use meaningful `title`/heading text.",,,buttons-confusing,A11Y-014,"2338934, 2340183, 2345689, 2345934, 2350446, 2354589, 2354590, 2354595, 2355419",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-040,P3,Design System code,High — matched a verified DS capability or rule,Focus ring and component borders are DS-owned tokens.,Fix required,Button,core/components/atoms/button,No,Focus indicator lacks 3 to 1 contrast ratio,1.4.11,Non-text Contrast,AA,Serious,2,0,2,Innovaccer - Incare Web Audit MDS issues found,Community Resources | Patient Consent,"Ensure non-text contrast ≥ 3:1 against adjacent colours for focus indicators, active/selected UI-component boundaries, and meaningful icons; use the focus-ring and border tokens rather than hard-coded colours.",,,contrast-focus-indicator,A11Y-047,"2342557, 2347771",https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-041,P3,App code (DS already exposes the required API),High — matched a verified DS capability or rule,Heading levels and which text is a heading are decided by app page structure; DS only renders the element it is told to.,Fix required,Heading,core/components/atoms/heading,No,Heading levels are out of order,1.3.1,Info and Relationships,A,Serious,2,0,3,Innovaccer - User Admin and Help Guide Web Audit,Help - DAP - Overview | Help Center,"Convey structure semantically: real `<ul>/<ol>` with only `<li>` children, `<table>` with `<th scope>` header cells, heading levels in sequential order, and programmatically associated group labels (`<fieldset>/<legend>` or `role=""group""` + `aria-labelledby`).",,,heading-level-order,A11Y-037,"2354257, 2354402, 2355333",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-042,P3,App code (DS already exposes the required API),High — matched a verified DS capability or rule,The visible label text is app-supplied; DS already forwards the name.,Fix required,Icon,core/components/atoms/icon,No,Accessible name does not contain visible label,2.5.3,Label in Name,A,Serious,2,0,2,DS audit report,Date Picker | Time Period Form,"Ensure the accessible name contains the visible label text, in the same order, so speech-input users can target the control by name.",,,speech-accessible-name-mismatch,A11Y-049,"2350901, 2356802",https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814
DS-043,P3,Design System code,High — matched a verified DS capability or rule,Focus ring and component borders are DS-owned tokens.,Fix required,Icon,core/components/atoms/icon,No,An icon lacks 3 to 1 contrast ratio / Active user interface component lacks 3 to 1 contrast ratio,1.4.11,Non-text Contrast,AA,Serious,2,0,2,Innovaccer - Incare Web Audit MDS issues found,Clinical Data | Edit contact details and preferences' dialog,"Ensure non-text contrast ≥ 3:1 against adjacent colours for focus indicators, active/selected UI-component boundaries, and meaningful icons; use the focus-ring and border tokens rather than hard-coded colours.",,,"contrast-graphical-objects-icon-3-1, contrast-uic-active-3-1",A11Y-050,"2345771, 2352215",https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-044,P3,Both — DS default/API change + app must supply the value,High — matched a verified DS capability or rule,"DS forwards aria-labelledby/-describedby, but several DS wrappers render the control without an associated <label>; app must pass a label and DS must guarantee the association.",Fix required,Input,core/components/atoms/input,No,Label is not persistent / Visible label missing,3.3.2,Labels or Instructions,A,Serious,2,0,5,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",How can we improve this article dialog | Own User details page | Search Combobox | Search and fill out form,Provide a persistent visible `<label>` associated with every input — placeholder text is not a label; add labels to native and custom selects.,4.24.0,Input: forward aria-labelledby and honour consumer tabIndex,"label-is-placeholder, label-not-present",A11Y-021,"2347996, 2353869, 2354192, 2355213, 2355332",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-045,P3,Design System code,High — matched a verified DS capability or rule,Focus ring and component borders are DS-owned tokens.,Fix required,Input,core/components/atoms/input,No,Active user interface component lacks 3 to 1 contrast ratio,1.4.11,Non-text Contrast,AA,Serious,2,0,2,Innovaccer - Incare Web Audit MDS issues found,Assessments | Patient Consent,"Ensure non-text contrast ≥ 3:1 against adjacent colours for focus indicators, active/selected UI-component boundaries, and meaningful icons; use the focus-ring and border tokens rather than hard-coded colours.",,,contrast-uic-active-3-1,A11Y-051,"2342547, 2371019","https://axeauditor.dequecloud.com/test-run/9e878f64-b8a4-11f0-b13a-430b8706e058
https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d"
DS-046,P3,App code (DS already exposes the required API),High — matched a verified DS capability or rule,Label *text* is supplied by the app. DS forwards aria-label/-labelledby already; only the app knows which control is which.,Fix required,InputWrapper,core/components/atoms/input,No,Programmatic label does not convey purpose of control,2.4.6,Headings and Labels,AA,Serious,2,0,2,DS audit report,Create User Form | Date Range Picker,"Give each control a unique, descriptive programmatic label that starts with its visible text; disambiguate repeated controls (e.g. multiple ""Edit"" buttons) with row/section context, and use meaningful `title`/heading text.",,,label-programmatic-not-descriptive,A11Y-052,"2354325, 2355000",https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814
DS-047,P3,App code (DS already exposes the required API),High — matched a verified DS capability or rule,The visible label text is app-supplied; DS already forwards the name.,Fix required,InputWrapper,core/components/atoms/input,No,Accessible name does not contain visible label,2.5.3,Label in Name,A,Serious,2,0,2,DS audit report,Create User Form | Date Range Picker,"Ensure the accessible name contains the visible label text, in the same order, so speech-input users can target the control by name.",,,speech-accessible-name-mismatch,A11Y-053,"2354327, 2355001",https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814
DS-048,P3,App code (DS already exposes the required API),High — matched a verified DS capability or rule,Label *text* is supplied by the app. DS forwards aria-label/-labelledby already; only the app knows which control is which.,Partially fixed — finish remaining occurrences,Labelled controls (Input / Button / Select),"core/components/atoms/input, core/components/atoms/button, core/components/organisms/select",Yes — pin exact component before fixing,Programmatic label does not convey purpose of control,2.4.6,Headings and Labels,AA,Serious,2,1,4,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Admin Overview | Footer | How can we improve this article dialog,"Give each control a unique, descriptive programmatic label that starts with its visible text; disambiguate repeated controls (e.g. multiple ""Edit"" buttons) with row/section context, and use meaningful `title`/heading text.",,,label-programmatic-not-descriptive,A11Y-030,"2347965, 2353650, 2354580, 2355669",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-049,P3,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Partially fixed — finish remaining occurrences,Selection controls (Tabs / VerticalNav / Listbox / Chip),"core/components/molecules/tabs, core/components/organisms/verticalNav, core/components/organisms/listbox, core/components/atoms/chip",Yes — pin exact component before fixing,Selected state of the element is missing or incorrect,4.1.2,"Name, Role, Value",A,Serious,2,2,6,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Admin - Secondary Header | Help - DAP - Overview | Level of Access - Date Access tab,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,state-selected-missing-incorrect,A11Y-020,"2340841, 2341391, 2350438, 2353879, 2355397, 2355420",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-050,P3,Both — DS default/API change + app must supply the value,High — matched a verified DS capability or rule,"DS forwards aria-labelledby/-describedby, but several DS wrappers render the control without an associated <label>; app must pass a label and DS must guarantee the association.",Fix required,Select,core/components/organisms/select,No,Select or dropdown control missing a visible label,3.3.2,Labels or Instructions,A,Moderate,2,0,2,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Admin Overview,Provide a persistent visible `<label>` associated with every input — placeholder text is not a label; add labels to native and custom selects.,,,label-is-missing-select,A11Y-055,"2354587, 2355308",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-051,P3,App code (DS already exposes the required API),High — matched a verified DS capability or rule,Label *text* is supplied by the app. DS forwards aria-label/-labelledby already; only the app knows which control is which.,Fix required,Button,core/components/atoms/button,No,Programmatic label does not convey purpose of control,2.4.6,Headings and Labels,AA,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Task,"Give each control a unique, descriptive programmatic label that starts with its visible text; disambiguate repeated controls (e.g. multiple ""Edit"" buttons) with row/section context, and use meaningful `title`/heading text.",,,label-programmatic-not-descriptive,A11Y-084,2374467,https://axeauditor.dequecloud.com/test-run/9e878f64-b8a4-11f0-b13a-430b8706e058
DS-052,P3,Design System code,High — matched a verified DS capability or rule,Focus ring and component borders are DS-owned tokens.,Fix required,Calendar,core/components/organisms/calendar,No,State of active component lacks 3 to 1 contrast ratio,1.4.11,Non-text Contrast,AA,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Calendar,"Ensure non-text contrast ≥ 3:1 against adjacent colours for focus indicators, active/selected UI-component boundaries, and meaningful icons; use the focus-ring and border tokens rather than hard-coded colours.",,,contrast-uic-active-3-1-state,A11Y-086,2342218,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-053,P3,Design System code,"Low — criterion default, confirm against the component",Defaulting to DS review for WCAG 1.4.4.,Fix required,Calendar,core/components/organisms/calendar,No,Content is lost at 200% zoom,1.4.4,Resize text,AA,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Calendar,Keep all content and function available at 200% text zoom — use relative units (`rem`) and avoid fixed heights that clip or hide controls.,,,resize-text-content-lost,A11Y-087,2342288,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-054,P3,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Fix required,Chip,core/components/atoms/chip,No,Selected state of the element is missing or incorrect,4.1.2,"Name, Role, Value",A,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Patients,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,state-selected-missing-incorrect,A11Y-089,2342682,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-055,P3,Design System code,High — matched a verified DS capability or rule,The nested interactive elements are rendered by the DS component itself.,Fix required,Chip / Grid (nested interactive),"core/components/atoms/chip, core/components/organisms/grid",Yes — pin exact component before fixing,Interactive controls must not be nested,4.1.2,"Name, Role, Value",A,Serious,1,0,1,Innovaccer - User Admin and Help Guide Web Audit,Help - DAP - Overview,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,nested-interactive,A11Y-090,2340910,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-056,P3,Design System code,High — matched a verified DS capability or rule,Colour comes from DS tokens (text.module.css has no hard-coded hex); raise the token/component contrast in css/src.,Fix required,Dropdown,core/components/atoms/dropdown,No,Elements must meet minimum color contrast ratio thresholds,1.4.3,Contrast (Minimum),AA,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,My Case details page,Raise text contrast to at least 4.5:1 (3:1 for large text) using approved contrast-safe design tokens from `css/src/variables/index.css`; applies to placeholder and in-focus/hover link text too.,,,color-contrast,A11Y-093,2352499,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-057,P3,Design System code,High — matched a verified DS capability or rule,The live region must be rendered by the DS component; an app cannot add one to markup it does not own.,Fix required,Dropdown,core/components/atoms/dropdown,No,Status message not automatically announced,4.1.3,Status Messages,AA,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,My Case details page,"Announce dynamic status changes (loading, saved, validation, result counts) through a live region — `role=""status""` / `aria-live=""polite""` — without moving focus.",,,status-msg-not-auto-announced,A11Y-094,2356036,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-058,P3,App code (DS already exposes the required API),High — matched a verified DS capability or rule,The visible label text is app-supplied; DS already forwards the name.,Fix required,Dropdown,core/components/atoms/dropdown,No,Accessible name does not contain visible label,2.5.3,Label in Name,A,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,New Task,"Ensure the accessible name contains the visible label text, in the same order, so speech-input users can target the control by name.",,,speech-accessible-name-mismatch,A11Y-096,2356956,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-059,P3,Design System code,High — matched a verified DS capability or rule,Focus ring and component borders are DS-owned tokens.,Fix required,Dropdown,core/components/atoms/dropdown,No,State of active component lacks 3 to 1 contrast ratio,1.4.11,Non-text Contrast,AA,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Task,"Ensure non-text contrast ≥ 3:1 against adjacent colours for focus indicators, active/selected UI-component boundaries, and meaningful icons; use the focus-ring and border tokens rather than hard-coded colours.",,,contrast-uic-active-3-1-state,A11Y-098,2374365,https://axeauditor.dequecloud.com/test-run/9e878f64-b8a4-11f0-b13a-430b8706e058
DS-060,P3,Design System code,"Low — criterion default, confirm against the component",Defaulting to DS review for WCAG 2.5.8.,Fix required,Grid,core/components/organisms/grid,No,"All touch targets must be 24px large, or leave sufficient space",2.5.8,Target Size (Minimum),AA,Serious,1,0,1,Innovaccer - DAP and Analytics Web Audit - Retest,Terminology,"Make pointer targets at least 24×24 CSS px, or leave equivalent spacing around smaller targets.",,,target-size,A11Y-099,2711412,https://axeauditor.dequecloud.com/test-run/878fe7e8-63d0-11f1-8176-0f09a18241fa
DS-061,P3,Design System code,High — matched a verified DS capability or rule,Keyboard operability of DS-rendered controls (useAccessibilityProps wires role/tabIndex/Enter+Space) is DS-owned.,Fix required,Grid,core/components/organisms/grid,No,Scrollable region must have keyboard access,2.1.1,Keyboard,A,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,My Case details page,"Make every interactive element operable by keyboard alone: use native `<button>`/`<a>`, or add `tabIndex={0}` plus Enter/Space handlers via the shared space-key utility; give scrollable regions a focusable container.",,,scrollable-region-focusable,A11Y-102,2352502,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-062,P3,Design System code,High — matched a verified DS capability or rule,"Grid renders its own internal buttons (sort/close/clear/toolbar), so their role and accessible name are DS-owned.",Fix required,Grid,core/components/organisms/grid,No,Button does not have a role,4.1.2,"Name, Role, Value",A,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Assessments,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,button-missing-role,A11Y-103,2371082,https://axeauditor.dequecloud.com/test-run/9e878f64-b8a4-11f0-b13a-430b8706e058
DS-063,P3,App code (DS already exposes the required API),High — matched a verified DS capability or rule,Label *text* is supplied by the app. DS forwards aria-label/-labelledby already; only the app knows which control is which.,Fix required,Icon,core/components/atoms/icon,No,Controls have same name but different actions,2.4.6,Headings and Labels,AA,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Assessments,"Give each control a unique, descriptive programmatic label that starts with its visible text; disambiguate repeated controls (e.g. multiple ""Edit"" buttons) with row/section context, and use meaningful `title`/heading text.",,,buttons-confusing,A11Y-105,2345533,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-064,P3,App code (DS already exposes the required API),High — matched a verified DS capability or rule,Input already exposes an `autoComplete` prop (Input.tsx:71) — the app must pass the correct token.,Fix required,Input,core/components/atoms/input,No,Identify input purpose missing,1.3.5,Identify Input Purpose,AA,Serious,1,0,3,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",How can we improve this article dialog | Search Combobox | Search and fill out form,"Add the correct `autocomplete` token (`name`, `email`, `tel`, `postal-code`, …) to inputs collecting known user data.",,,id-input-purpose-missing,A11Y-038,"2347995, 2354204, 2355220",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-065,P3,App code (DS already exposes the required API),High — matched a verified DS capability or rule,Label *text* is supplied by the app. DS forwards aria-label/-labelledby already; only the app knows which control is which.,Fix required,Label,core/components/atoms/label,No,Programmatic label does not convey purpose of control,2.4.6,Headings and Labels,AA,Serious,1,0,1,DS audit report,Date Picker,"Give each control a unique, descriptive programmatic label that starts with its visible text; disambiguate repeated controls (e.g. multiple ""Edit"" buttons) with row/section context, and use meaningful `title`/heading text.",,,label-programmatic-not-descriptive,A11Y-106,2351366,https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814
DS-066,P3,App code (DS already exposes the required API),High — matched a verified DS capability or rule,The visible label text is app-supplied; DS already forwards the name.,Fix required,Label,core/components/atoms/label,No,Accessible name does not contain visible label,2.5.3,Label in Name,A,Serious,1,0,1,DS audit report,Date Picker,"Ensure the accessible name contains the visible label text, in the same order, so speech-input users can target the control by name.",,,speech-accessible-name-mismatch,A11Y-107,2351367,https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814
DS-067,P3,Design System code,High — matched a verified DS capability or rule,"Modal.tsx already implements a focus trap and focus restore — a failure here is a defect in that DS logic, not app usage.",Fix required,Label,core/components/atoms/label,No,Keyboard focus is lost or misplaced due to user interaction or content update,2.4.3,Focus Order,A,Serious,1,0,1,DS audit report,Create User Form,"Keep focus order logical and trap focus inside modals/overlays: move focus to the dialog on open, cycle within it, restore focus to the trigger on close, and never focus visually hidden items.",,,focus-lost,A11Y-108,2355862,https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814
DS-068,P3,Design System code,"Low — criterion default, confirm against the component",Defaulting to DS review for WCAG 1.4.1.,Fix required,Link,core/components/atoms/link,No,Link contrast is not at least 3:1 with surrounding text,1.4.1,Use of Color,A,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Patients,Review against WCAG 2.2 1.4.1.,,,link-insufficient-contrast,A11Y-111,2342435,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-069,P3,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Fix required,Link,core/components/atoms/link,No,Link does not have a role,4.1.2,"Name, Role, Value",A,Serious,1,0,1,Innovaccer - User Admin and Help Guide Web Audit,Roles,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,link-missing-role,A11Y-112,2340406,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
